"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"Africa Eastern and Southern","AFE","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.17176884183915","4.43685344409293","4.55895273669692","3.43379937713577","4.44818554213551","5.02193011691619","4.9246559014316","5.09302512886598","5.45931105348929","5.14096916299559","4.95070339943987","4.01299222612386","4.27295330668003","4.30599708111682","4.32201072162639","3.59778239230706","3.08247236912167","3.33879335353249","3.88272718768642","3.8628356121228","3.48550420314529","3.80751492113267","3.36588230308681","3.92468805741296","3.77174670782211","3.32080552641525","4.0266835180308","3.72570358519629","2.9468262757353","3.36992845412008","2.59163251545951","3.13994707251336","2.53905187663984","","",
"Afghanistan","AFG","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"Africa Western and Central","AFW","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"Angola","AGO","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"Albania","ALB","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"Andorra","AND","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"Arab World","ARB","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.137846671969184","0.743690742199741","1.48208594457793","","",
"United Arab Emirates","ARE","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.30434782608696","6.75401873171779","13.2502991546469","","",
"Argentina","ARG","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.2725526326107","14.3992276845388","12.6182796656985","12.5242404654169","12.5468507176159","10.5178547505991","10.6905348850542","10.9844774060021","10.046776215575","8.79901930434998","6.94091736521563","7.82993544379617","6.88020802553041","8.21712498370911","7.84710657266227","6.49812326863259","6.77955643313","6.35607028050553","6.01179394227694","6.67113479582829","5.69059238979487","4.91946319089463","4.70020138470358","4.45051517563295","3.97904399030135","4.83956355235928","5.62763211520174","4.19722062014226","4.70095367847411","6.07502418401347","7.44490726897214","7.10084280482311","5.48456864293316","6.45096165493479","",
"Armenia","ARM","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","5.46664269016364","37.399420663019","26.6545032343672","25.6662897754805","36.3477348259577","33.6522322927157","34.5865970409051","41.348070302591","36.3206689692783","36.5008291873963","42.9950926072503","44.4369634741626","43.2858596134283","42.6516464471404","43.9781343678364","38.3608072716068","34.2934051144011","28.7580886012942","30.609597924773","31.8105562008001","35.7481728426721","32.5358851674641","33.7282678686413","26.6461301501733","28.610496158354","35.1620311303904","25.3585480390913","30.968443960827","","",
